,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
157,SPY260605P00707000,2026-05-22 19:59:12+00:00,707.0,0.82,0.83,0.85,-0.32,-28.070175,302.0,559,0.18616536499023437,False,REGULAR,USD
158,SPY260605P00708000,2026-05-22 20:10:17+00:00,708.0,0.89,0.87,0.89,-0.26,-22.608696,485.0,631,0.18433432861328125,False,REGULAR,USD
159,SPY260605P00709000,2026-05-22 19:44:33+00:00,709.0,1.01,0.91,0.93,-0.18000007,-15.126056,83.0,1143,0.18238122314453126,False,REGULAR,USD
160,SPY260605P00710000,2026-05-22 20:13:25+00:00,710.0,0.97,0.95,0.97,-0.29999995,-23.622044,1768.0,3021,0.18030604858398439,False,REGULAR,USD
161,SPY260605P00711000,2026-05-22 20:14:39+00:00,711.0,1.01,1.0,1.02,-0.29999995,-22.90076,148.0,697,0.17865811584472657,False,REGULAR,USD
162,SPY260605P00712000,2026-05-22 20:03:40+00:00,712.0,1.08,1.04,1.07,-0.30999994,-22.302155,402.0,841,0.17682707946777343,False,REGULAR,USD
163,SPY260605P00713000,2026-05-22 19:18:05+00:00,713.0,1.17,1.1,1.12,-0.35000002,-23.026318,153.0,1206,0.17487397399902344,False,REGULAR,USD
164,SPY260605P00714000,2026-05-22 19:55:57+00:00,714.0,1.18,1.15,1.17,-0.34000003,-22.368423,240.0,673,0.17285983398437502,False,REGULAR,USD
165,SPY260605P00715000,2026-05-22 20:05:50+00:00,715.0,1.23,1.21,1.23,-0.39999998,-24.539875,1101.0,4040,0.1710287976074219,False,REGULAR,USD
166,SPY260605P00716000,2026-05-22 19:46:52+00:00,716.0,1.42,1.27,1.29,-0.31000006,-17.919079,188.0,594,0.16913672668457033,False,REGULAR,USD
